BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis cristatellus,Female,Dactyloidae,Iguania,Anolis_cristatellus,18,18,7.906,2.53,45.22,12.04,8.07,7.34,13.5
Anolis oculatus,Female,Dactyloidae,Iguania,Anolis_oculatus,15,15,24.187,6.82,61.82,15.43,10.62,8.59,19.79
Crotaphytus antiquus,Female,Crotaphytidae,Iguania,Crotaphytus_antiquus,12,12,23.3,34,93.8,25.6,19.9,19.9,NA
Podarcis erhardii,Female,Lacertidae,Lacertoidea,Podarcis_erhardii,160,160,14.14,8,74.27,14.81,10,8.1,12.72
Pogona vitticeps,Female,Agamidae,Iguania,Pogona_vitticeps,11,11,52.66,236.38,184.64,42.23,37.89,24.62,52.2
Uromastyx aegyptia,Female,Agamidae,Iguania,Uromastyx_aegyptia,5,5,117.9,716,290,43.7,45.2,25.8,49.7
Urosaurus ornatus,Female,Phrynosomatidae,Iguania,Urosaurus_ornatus,9,9,6,NA,55.84,11.43,9.49,6.5,NA
Anolis aquaticus,Female,Dactyloidae,Iguania,Anolis_aquaticus,9,9,9,NA,52.4,13.9,7.7,6.3,13.9
Anolis lionotus,Female,Dactyloidae,Iguania,Anolis_lionotus,11,11,10,NA,57.1,14.6,7.9,6.2,14.7
Anolis oxylophus,Female,Dactyloidae,Iguania,Anolis_oxylophus,7,7,6.6,NA,55.3,13.8,7.7,6.3,14
Anolis poecilopus,Female,Dactyloidae,Iguania,Anolis_poecilopus,7,7,10.1,NA,59.6,15,8.4,6.3,15.1
Liolaemus baguali,Female,Liolaemidae,Iguania,Liolaemus_baguali,2,2,10.4,NA,81.79,15.9,10.98,7.13,16.66
Liolaemus bibronii,Female,Liolaemidae,Iguania,Liolaemus_bibronii,4,4,2.46,NA,55.98,11.38,7.81,5.43,11.52
Liolaemus canqueli,Female,Liolaemidae,Iguania,Liolaemus_canqueli,4,4,10.95,NA,88.7,17.04,11.27,8.02,17.77
Liolaemus kriegi,Female,Liolaemidae,Iguania,Liolaemus_kriegi,5,5,5.62,NA,76.39,16.11,11.47,7.25,16.54
Liolaemus coeruleus,Female,Liolaemidae,Iguania,Liolaemus_coeruleus,5,5,3.64,NA,63.27,12.41,9.09,5.6,12.91
Liolaemus elongatus,Female,Liolaemidae,Iguania,Liolaemus_elongatus,9,9,6.19,NA,63.13,13.99,8.94,5.88,14.11
Liolaemus escarchadosi,Female,Liolaemidae,Iguania,Liolaemus_escarchadosi,2,2,4.88,NA,68.29,14.34,8.81,6,14.48
Liolaemus fitzingerii,Female,Liolaemidae,Iguania,Liolaemus_fitzingerii,6,6,10.7,NA,89.93,17.78,11.46,8.15,17.93
Liolaemus hatcheri,Female,Liolaemidae,Iguania,Liolaemus_hatcheri,5,5,2.62,NA,59.17,11.61,8.59,5.29,11.97
Liolaemus kingii,Female,Liolaemidae,Iguania,Liolaemus_kingii,7,7,8.53,NA,74.98,14.94,10.01,6.91,15.56
Liolaemus kolengh,Female,Liolaemidae,Iguania,Liolaemus_kolengh,4,4,2.35,NA,56.66,11.7,8.45,5.16,11.71
Liolaemus mapuche,Female,Liolaemidae,Iguania,Liolaemus_mapuche,5,5,6.49,NA,71.01,14.18,9.95,7.32,14.62
Liolaemus morenoi,Female,Liolaemidae,Iguania,Liolaemus_morenoi,7,7,9.09,NA,69.03,14.22,9.92,7.05,14.48
Liolaemus petrophilus,Female,Liolaemidae,Iguania,Liolaemus_petrophilus,7,7,6.77,NA,78.46,17.89,11.22,6.79,18.42
Liolaemus rothi,Female,Liolaemidae,Iguania,Liolaemus_rothi,3,3,5.27,NA,80.9,17.1,12.33,8.19,18.47
Liolaemus sarmientoi,Female,Liolaemidae,Iguania,Liolaemus_sarmientoi,2,2,5.46,NA,74.7,15.11,10.11,7.67,15.95
Liolaemus tenuis,Female,Liolaemidae,Iguania,Liolaemus_tenuis,3,3,3.73,NA,51.91,12.15,7.34,4.79,12.04
Liolaemus xanthoviridis,Female,Liolaemidae,Iguania,Liolaemus_xanthoviridis,2,2,10.27,NA,84.17,16.84,10.7,7.73,16.6
Liolaemus zullyae,Female,Liolaemidae,Iguania,Liolaemus_zullyae,3,3,4.86,NA,66.5,14.03,9.42,6.94,14.66
Sauromalus ater,Female,Iguanidae,Iguania,Sauromalus_ater,15,15,20.7,151.7,151.3,26.2,21.5,11.8,NA
Trogonophis wiegmanni,Female,Trogonophidae,Lacertoidea,Trogonophis_wiegmanni,10,10,5.08,6.73,153.2,6.69,5,4,NA
Lacerta trilineata,Female,Lacertidae,Lacertoidea,Lacerta_trilineata,12,12,39.43,NA,148,44.7,23.2,16.6,25.6
Iberolacerta horvathi,Female,Lacertidae,Lacertoidea,Iberolacerta_horvathi,25,25,1.3395,NA,66.1,20.6,8.2,5.6,NA
Tarentola mauritanica,Female,Phyllodactylidae,Gekkota,Tarentola_mauritanica,18,18,3.23,NA,66.86,19.75,15.79,8.89,NA
Ablepharus kitaibelii,Female,Scincidae,Scincoidea,Ablepharus_kitaibelii,5,5,0.21,0.76,41.75,6.27,3.45,2.47,5.78
Anolis lineatopus,Female,Dactyloidae,Iguania,Anolis_lineatopus,45,45,1.66,1.86,44.02,13,6.79,5.12,13.14
Gallotia atlantica,Female,Lacertidae,Lacertoidea,Gallotia_atlantica,18,18,8.4,7.8,63.4,14.5,8.3,6,15.5
Gallotia bravoana,Female,Lacertidae,Lacertoidea,Gallotia_bravoana,15,15,104.4,159.2,172.3,38.3,26.2,19.8,40.1
Gallotia caesaris,Female,Lacertidae,Lacertoidea,Gallotia_caesaris,20,20,15.9,14.8,84.6,19.3,10.9,8.6,20.8
Gallotia intermedia,Female,Lacertidae,Lacertoidea,Gallotia_intermedia,4,4,48,59.7,122.2,28.3,17.9,13.4,30.3
Gallotia simonyi,Female,Lacertidae,Lacertoidea,Gallotia_simonyi,14,14,105.6,238.6,196.1,42.6,28.3,22.1,45
Gallotia stehlini,Female,Lacertidae,Lacertoidea,Gallotia_stehlini,25,25,83.7,107.6,156.8,35.6,22.4,17.1,38.2
Zootoca vivipara,Female,Lacertidae,Lacertoidea,Zootoca_vivipara,16,16,1.42,2.59,50.44,9.62,6.09,4.59,10.04
Podarcis muralis,Female,Lacertidae,Lacertoidea,Podarcis_muralis,21,21,11.85,4.4,55.55,12,6.9,5.36,11.85
Sphenodon punctatus,Female,Sphenodontidae,Sphenodontia,Sphenodon_punctatus,70,70,120.3,272.7,199.5,51.3,37.9,27.9,54.5
Anolis heterodermus,Female,Dactyloidae,Iguania,Anolis_heterodermus,15,15,16.69,NA,70.74,19.78,9.85,8.74,19.24
Anolis allisoni,Female,Dactyloidae,Iguania,Anolis_allisoni,7,7,2,NA,54.95,19.95,8.32,5.5,17.78
Anolis angusticeps,Female,Dactyloidae,Iguania,Anolis_angusticeps,26,26,1.51,NA,39.81,11.48,5.13,3.8,11.48
Anolis auratus,Female,Dactyloidae,Iguania,Anolis_auratus,22,22,2.87,NA,46.03,11.81,6.13,4.85,11.89
Anolis bahorucoensis,Female,Dactyloidae,Iguania,Anolis_bahorucoensis,22,22,1.07,NA,31.62,10.72,5.37,4.37,10.72
Anolis baracoae,Female,Dactyloidae,Iguania,Anolis_baracoae,3,3,15.14,NA,112.2,38.02,21.38,14.45,36.31
Anolis barahonae,Female,Dactyloidae,Iguania,Anolis_barahonae,7,7,40.74,NA,141.25,43.65,23.99,20.89,43.65
Anolis brevirostris,Female,Dactyloidae,Iguania,Anolis_brevirostris,32,32,1.91,NA,38.9,12.02,7.24,5.37,11.75
Anolis brunneus,Female,Dactyloidae,Iguania,Anolis_brunneus,24,24,1.74,NA,46.77,13.8,6.61,4.68,14.13
