BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,arboreal,fossorial,Diet,acrodont,arboreal_strict,fossorial_strict
Anolis cristatellus,Female,Dactyloidae,Pleurodonta,Anolis_cristatellus,18,18,7.906,2.53,45.22,12.04,8.07,7.34,13.5,Arboreal,Other,Omnivorous,Pleurodont,Other,Other
Anolis oculatus,Female,Dactyloidae,Pleurodonta,Anolis_oculatus,15,15,24.187,6.82,61.82,15.43,10.62,8.59,19.79,Arboreal,Other,Carnivorous,Pleurodont,Other,Other
Crotaphytus antiquus,Female,Crotaphytidae,Pleurodonta,Crotaphytus_antiquus,12,12,23.3,34,93.8,25.6,19.9,19.9,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Podarcis erhardii,Female,Lacertidae,Lacertoidea,Podarcis_erhardii,160,160,14.14,8,74.27,14.81,10,8.1,12.72,Other,Other,Carnivorous,Pleurodont,Other,Other
Pogona vitticeps,Female,Agamidae,Acrodonta,Pogona_vitticeps,11,11,72.4934162463253,312.99403265720974,204.83824497326438,46.57477847536557,42.466942210690455,28.301453517294494,57.970927135218396,Arboreal,Other,Omnivorous,Acrodont,Other,Other
Uromastyx aegyptia,Female,Agamidae,Acrodonta,Uromastyx_aegyptia,5,5,117.9,716,290,43.7,45.2,25.8,49.7,Other,Other,Herbivorous,Acrodont,Other,Other
Urosaurus ornatus,Female,Phrynosomatidae,Pleurodonta,Urosaurus_ornatus,9,9,6,NA,55.84,11.43,9.49,6.5,NA,Arboreal,Other,Carnivorous,Pleurodont,Other,Other
Anolis aquaticus,Female,Dactyloidae,Pleurodonta,Anolis_aquaticus,9,9,13.2,NA,60.05,15.58,8.66,7.02,15.73,Other,Other,Carnivorous,Pleurodont,Other,Other
Anolis lionotus,Female,Dactyloidae,Pleurodonta,Anolis_lionotus,11,11,13.64828726939094,NA,63.633750837000136,15.92664991614216,8.695989949685297,6.796992462263972,16.22564740356348,Other,Other,Carnivorous,Pleurodont,Other,Other
Anolis oxylophus,Female,Dactyloidae,Pleurodonta,Anolis_oxylophus,7,7,9.245751311064591,NA,59.18925442726494,14.51435285398744,8.361437827766148,6.776235235991626,14.873097932651316,Other,Other,Carnivorous,Pleurodont,Other,Other
