Family,HigherTaxonomy,Species_Uetz
Agamidae,Acrodonta,548
Alopoglossidae,Lacertoidea,29
Amphisbaenidae,Lacertoidea,183
Anguidae,Anguimorpha,86
Bipedidae,Lacertoidea,3
Blanidae,Lacertoidea,7
Cadeidae,Lacertoidea,2
Carphodactylidae,Gekkota,32
Chamaeleonidae,Acrodonta,219
Cordylidae,Scincoidea,70
Corytophanidae,Pleurodonta,11
Crotaphytidae,Pleurodonta,12
Dactyloidae,Pleurodonta,436
Dibamidae,Dibamia,25
Diplodactylidae,Gekkota,161
Diploglossidae,Anguimorpha,51
Eublepharidae,Gekkota,43
Gekkonidae,Gekkota,1430
Gerrhosauridae,Scincoidea,37
Gymnophthalmidae,Lacertoidea,270
Helodermatidae,Anguimorpha,5
Hoplocercidae,Pleurodonta,19
Iguanidae,Pleurodonta,44
Lacertidae,Lacertoidea,356
Lanthanotidae,Anguimorpha,1
Leiocephalidae,Pleurodonta,29
Leiosauridae,Pleurodonta,34
Liolaemidae,Pleurodonta,332
Opluridae,Pleurodonta,8
Phrynosomatidae,Pleurodonta,165
Phyllodactylidae,Gekkota,154
Polychrotidae,Pleurodonta,8
Pygopodidae,Gekkota,46
Rhineuridae,Lacertoidea,1
Scincidae,Scincoidea,1727
Shinisauridae,Anguimorpha,1
Sphaerodactylidae,Gekkota,229
Sphenodontidae,Rhynchocephalia,1
Teiidae,Lacertoidea,172
Trogonophidae,Lacertoidea,6
Tropiduridae,Pleurodonta,138
Varanidae,Anguimorpha,83
Xantusiidae,Scincoidea,36
Xenosauridae,Anguimorpha,12
