HigherTaxonomy,Family,nBF,Species_Uetz,percent_taxa,percent_studies
Acrodonta,Agamidae,5,530,0.9433962264150944,3.048780487804878
Acrodonta,Chamaeleonidae,13,217,5.990783410138248,7.926829268292683
Anguimorpha,Anguidae,1,85,1.1764705882352942,0.6097560975609756
Anguimorpha,Diploglossidae,0,51,0,0
Anguimorpha,Helodermatidae,0,5,0,0
Anguimorpha,Lanthanotidae,0,1,0,0
Anguimorpha,Shinisauridae,0,1,0,0
Anguimorpha,Varanidae,1,83,1.2048192771084338,0.6097560975609756
Anguimorpha,Xenosauridae,3,12,25,1.8292682926829267
Dibamia,Dibamidae,0,25,0,0
Gekkota,Carphodactylidae,0,32,0,0
Gekkota,Diplodactylidae,0,155,0,0
Gekkota,Eublepharidae,0,40,0,0
Gekkota,Gekkonidae,1,1356,0.07374631268436578,0.6097560975609756
Gekkota,Phyllodactylidae,1,151,0.6622516556291391,0.6097560975609756
Gekkota,Pygopodidae,0,46,0,0
Gekkota,Sphaerodactylidae,0,228,0,0
Lacertoidea,Alopoglossidae,0,28,0,0
Lacertoidea,Amphisbaenidae,0,182,0,0
Lacertoidea,Bipedidae,0,3,0,0
Lacertoidea,Blanidae,0,7,0,0
Lacertoidea,Cadeidae,0,2,0,0
Lacertoidea,Gymnophthalmidae,0,267,0,0
Lacertoidea,Lacertidae,31,350,8.857142857142856,18.902439024390244
Lacertoidea,Rhineuridae,0,1,0,0
Lacertoidea,Teiidae,6,170,3.5294117647058822,3.6585365853658534
Lacertoidea,Trogonophidae,1,6,16.666666666666664,0.6097560975609756
Pleurodonta,Corytophanidae,0,11,0,0
Pleurodonta,Crotaphytidae,2,12,16.666666666666664,1.2195121951219512
Pleurodonta,Dactyloidae,40,436,9.174311926605505,24.390243902439025
Pleurodonta,Hoplocercidae,0,19,0,0
Pleurodonta,Iguanidae,2,44,4.545454545454546,1.2195121951219512
Pleurodonta,Leiocephalidae,0,29,0,0
Pleurodonta,Leiosauridae,1,34,2.941176470588235,0.6097560975609756
Pleurodonta,Liolaemidae,19,321,5.919003115264798,11.585365853658537
Pleurodonta,Opluridae,0,8,0,0
Pleurodonta,Phrynosomatidae,7,163,4.294478527607362,4.2682926829268295
Pleurodonta,Polychrotidae,0,8,0,0
Pleurodonta,Tropiduridae,3,136,2.2058823529411766,1.8292682926829267
Rhynchocephalia,Sphenodontidae,1,1,100,0.6097560975609756
Scincoidea,Cordylidae,3,70,4.285714285714286,1.8292682926829267
Scincoidea,Gerrhosauridae,0,37,0,0
Scincoidea,Scincidae,23,1709,1.3458162668227034,14.02439024390244
Scincoidea,Xantusiidae,0,35,0,0
