dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2,bonf_p_morph,bonf_p_covariate,bonf_p_morphxcovariate
mean,all,full,SVL,diet,0.9527904473347074,152,1,393.41616947068485,5.116146336786683e-44,2,0.7057664128288925,0.4953406626814417,2,1.0080167285754247,0.36736829612238286,0.71394407957584,2.506911705025475e-42,1,1
mean,female,full,SVL,diet,0.9357640915259389,105,1,228.5403345815625,4.146750001017444e-28,2,0.09805675169848611,0.9066803714285903,2,0.8809875173024442,0.41741373307158597,0.6721296065203907,6.220125001526166e-27,1,1
mean,male,full,SVL,diet,0.9439230585510153,125,1,380.8816640738097,9.267184738525907e-40,2,0.43116696672382737,0.6507130405450441,2,3.2410196174183272,0.0424349664428462,0.7467003024659918,3.146983652326521e-38,1,1
mean,all,full,HW,diet,1,133,1,546.7562474098048,5.893107089427166e-49,2,13.74588246019374,3.745640137747941e-6,2,1.1499766814067964,0.31977212689472767,0.8055099772356936,3.476933182762028e-47,2.3222968854037234e-4,1
mean,female,full,HW,diet,1,89,1,92.36139783120912,2.0449180428835636e-15,2,44.64035082936501,3.747247710593839e-14,2,1.7522787019439998,0.17930649859581382,0.6571178322396805,2.0449180428835636e-15,2.398238534780057e-12,1
mean,male,full,HW,diet,0.8947927169520467,108,1,406.2959719616333,2.1564480896679673e-38,2,0.07636233941680164,0.9265304227281316,2,2.547733412623464,0.08295491595815865,0.7825016467393013,6.6849890779706985e-37,1,1
mean,all,full,SVL,arboreal,0.9538729322656941,157,1,414.96709358773694,6.258146742639258e-46,1,0.7946584921115942,0.3740593435013808,1,3.235203145471635,0.07399235080006267,0.7222207538624735,3.441980708451592e-44,1,1
mean,female,full,SVL,arboreal,0.9365089336580116,108,1,242.14235700059638,2.3891184277421962e-29,1,2.0513124218586496,0.1549630225491689,1,0.4194527590700387,0.5185846241960572,0.6852074043266682,4.061501327161733e-28,1,1
mean,male,full,SVL,arboreal,0.9411575525996176,128,1,388.4547465654469,1.3665052564538862e-40,1,2.5839959344089727,0.11041282034146072,1,1.4978542023777253,0.22324986008727674,0.7483366187316568,5.1927199745247674e-39,1,1
mean,all,full,HW,arboreal,0.9845981189158651,138,1,398.14018700023513,1.6835119102458562e-42,1,1.012236463692,0.31612850799487885,1,0.14355255947614343,0.7053568196184112,0.7375748073835222,7.239101214057182e-41,1,1
mean,female,full,HW,arboreal,0.966277509238621,92,1,204.0099824345535,4.485196293385864e-25,1,2.6544783767804976,0.1066781410081378,1,0.2471071490718759,0.6203053195472957,0.682180249335202,3.5881570347086915e-24,1,1
mean,male,full,HW,arboreal,0.8793252151470878,111,1,420.2239452373909,1.5513349057488375e-39,1,2.6008608913729248,0.10964530975761685,1,0.19153032398759168,0.6624963603210685,0.7865233847390238,4.96427169839628e-38,1,1
mean,all,full,SVL,fossorial,0.9493718063863941,157,1,445.25866601807013,1.0791424994901474e-47,1,7.492542249461314,0.006910566861975037,1,7.7602253023527945,0.005999190854366094,0.7408954858130693,6.15111224709384e-46,0.38699174427060207,0.38394821467943
mean,all,full,HW,fossorial,0.96772985041915,138,1,451.57018743050304,2.359838976115551e-45,1,16.475555218137938,8.214889673563861e-5,1,3.5021046093625885,0.06340797931921019,0.7686809975061418,1.250714657341242e-43,0.004991345527325154,1
mean,all,full,SVL,taxonomy,0.9214084433370943,145,1,387.04183688959665,9.049239048869488e-43,3,1.07269232564725,0.36269781679745916,3,1.8046506698889946,0.14894028380538493,0.7188693414029329,3.9816651815025746e-41,1,1
mean,female,full,SVL,taxonomy,0.8875000970563977,98,1,219.77414761851057,8.905172833333213e-27,2,0.8659440729339397,0.4238475590706769,2,0.7518457511554413,0.474195307390795,0.6791374489582699,1.1576724683333176e-25,1,1
mean,male,full,SVL,taxonomy,0.9012406245621092,112,1,305.8764335726254,8.322551335545655e-34,2,1.1012911270494736,0.3360141214473631,2,2.811754921061913,0.06434839818237359,0.7251601929864665,1.997412320530957e-32,1,1
mean,all,full,HW,taxonomy,0.9830038817614842,127,1,375.759870894002,9.255834271548592e-40,3,0.0861749273430623,0.967496424440188,3,1.5928763544071984,0.19436628548544788,0.7361150351977599,3.146983652326521e-38,1,1
mean,female,full,HW,taxonomy,0.9862807594622532,82,1,176.34828042479327,3.8921816034442834e-22,2,0.19027557796037445,0.8270952482648786,2,2.498663206509627,0.088435328866538307,0.6701123594950057,2.7245271224109984e-21,1,1
mean,male,full,HW,taxonomy,0.689139303606219,96,1,335.79332651370345,4.157115754097361e-33,2,0.2874686618986268,0.7508035330780842,2,2.7907750055070157,0.06636010876065107,0.769379968192119,9.561366234423929e-32,1,1
mean,all,full,HH,diet,0.6809585873313699,127,1,613.5250953333657,1.8412088750128392e-50,2,0.9000888641891522,0.4091107815096263,2,0.6027919705781428,0.5488397023628697,0.8224686995075376,1.1047253250077036e-48,1,1
mean,female,full,HH,diet,1,89,1,243.66956079181656,3.2372672072664276e-27,2,5.536076647191214,0.005418959471488515,2,0.11399679597303158,0.8923908849186937,0.7267201212731311,4.5321740901729986e-26,0.31429964934633386,1
mean,male,full,HH,diet,0.7784274565228424,107,1,536.4259512536079,1.7470087778177155e-43,2,0.4041568231732647,0.6685541387077999,2,2.3422677874543045,0.10101929364103596,0.8274052163105136,8.385642133525035e-42,1,1
mean,all,full,HL,diet,0.9671473432457085,127,1,316.94779614496053,2.5525653742670485e-36,2,1.0255834408168063,0.3615375061140215,2,0.32816908444289933,0.7208501475231113,0.7044700921567484,6.891926510521031e-35,1,1
mean,female,full,HL,diet,1,90,1,114.64175375697037,9.816983951332252e-18,2,17.302185052906278,4.38445472914478e-7,2,0.09153731710487656,0.9126121086532886,0.6032229962078194,1.9633967902664504e-17,2.7622064793612113e-5,1
mean,male,full,HL,diet,1,109,1,457.07881056165945,8.623798993279955e-41,2,0.2715698479646325,0.7626962091863057,2,1.425113448148261,0.24492592322345275,0.7998146273453595,3.449519597311982e-39,1,1
mean,all,full,HH,arboreal,0.7212233426987649,132,1,626.6666494701199,5.703896403070289e-52,1,3.2682009620824677,0.07291194583475619,1,0.24448920360167367,0.6218043267773545,0.8228763324068746,3.5934547339342823e-50,1,1
mean,female,full,HH,arboreal,0.9396239286049775,92,1,294.04032914499834,2.1168096206436085e-30,1,2.3011870425588206,0.1327039214006891,1,0.28263034371433354,0.5962637178335796,0.7555478710009708,4.233619241287217e-29,1,1
mean,male,full,HH,arboreal,0.7830980086222392,110,1,554.1258873691435,9.367774368652962e-45,1,4.6060132017698105,0.0340578614946788,1,0.008442464875339773,0.9269582119053746,0.8310255973386779,4.87124267169954e-43,1,1
mean,all,full,HL,arboreal,0.964329550312838,132,1,333.6564518985853,5.990855278877845e-38,1,3.901672089870986,0.050324347386733276,1,0.10190268497806812,0.7500627966685376,0.7125580370205348,1.7972565836633534e-36,1,1
