Sex,Family,HigherTaxonomy,MeanBF,SeBF,n()
Female,Agamidae,Acrodonta,4.367,0.403,2
Female,Chamaeleonidae,Acrodonta,2.516,0.179,13
Female,Cordylidae,Scincoidea,3.549,0.142,2
Female,Crotaphytidae,Pleurodonta,3.148,NA,1
Female,Dactyloidae,Pleurodonta,1.283,0.171,40
Female,Iguanidae,Pleurodonta,3.03,NA,1
Female,Lacertidae,Lacertoidea,2.114,0.291,24
Female,Liolaemidae,Pleurodonta,1.735,0.115,19
Female,Phrynosomatidae,Pleurodonta,1.792,NA,1
Female,Phyllodactylidae,Gekkota,1.172,NA,1
Female,Scincidae,Scincoidea,-1.561,NA,1
Female,Sphenodontidae,Rhynchocephalia,4.79,NA,1
Female,Teiidae,Lacertoidea,5.123,0.623,2
Female,Trogonophidae,Lacertoidea,1.625,NA,1
Female,Xenosauridae,Anguimorpha,2.643,0.14,3
Male,Agamidae,Acrodonta,3.927,0.453,5
Male,Chamaeleonidae,Acrodonta,2.484,0.162,13
Male,Cordylidae,Scincoidea,3.508,0.318,3
Male,Crotaphytidae,Pleurodonta,4.257,NA,1
Male,Dactyloidae,Pleurodonta,1.875,0.182,39
Male,Gekkonidae,Gekkota,3.371,NA,1
Male,Iguanidae,Pleurodonta,3.641,0.697,2
Male,Lacertidae,Lacertoidea,2.61,0.247,31
Male,Liolaemidae,Pleurodonta,2.031,0.113,19
Male,Phrynosomatidae,Pleurodonta,1.59,0.191,3
Male,Phyllodactylidae,Gekkota,1.701,NA,1
Male,Scincidae,Scincoidea,3.072,1.453,4
Male,Sphenodontidae,Rhynchocephalia,5.153,NA,1
Male,Teiidae,Lacertoidea,3.575,1.145,4
Male,Trogonophidae,Lacertoidea,1.649,NA,1
Male,Varanidae,Anguimorpha,4.461,NA,1
Male,Xenosauridae,Anguimorpha,2.825,0.154,3
