Family,HigherTaxonomy,MeanBF,SeBF,n()
Agamidae,Acrodonta,4.057,0.461,5
Anguidae,Anguimorpha,2.195,NA,1
Chamaeleonidae,Acrodonta,2.926,0.164,13
Cordylidae,Scincoidea,3.706,0.371,3
Crotaphytidae,Pleurodonta,3.531,0.726,2
Dactyloidae,Pleurodonta,2.235,0.158,40
Gekkonidae,Gekkota,3.371,NA,1
Iguanidae,Pleurodonta,3.858,0.804,2
Lacertidae,Lacertoidea,2.735,0.25,31
Leiosauridae,Pleurodonta,2.987,NA,1
Liolaemidae,Pleurodonta,2.221,0.113,19
Phrynosomatidae,Pleurodonta,2.03,0.214,7
Phyllodactylidae,Gekkota,1.701,NA,1
Scincidae,Scincoidea,1.437,0.384,23
Sphenodontidae,Rhynchocephalia,5.393,NA,1
Teiidae,Lacertoidea,3.894,0.844,6
Trogonophidae,Lacertoidea,2.079,NA,1
Tropiduridae,Pleurodonta,3.78,0.273,3
Varanidae,Anguimorpha,4.679,NA,1
Xenosauridae,Anguimorpha,3.082,0.132,3
